Age,Gender,High_School_GPA,University_Ranking,University_GPA,Field_of_Study,Internships_Completed,Projects_Completed,Certifications,Soft_Skills_Score,Starting_Salary,Current_Job_Level
23.0,0,2.51,884.0,2.9,5,4.0,0.0,4.0,2.0,46400.0,2
29.0,1,2.87,996.0,3.73,3,1.0,9.0,2.0,1.0,40400.0,0
19.0,0,3.04,31.0,3.74,6,1.0,2.0,3.0,4.0,37100.0,0
27.0,0,2.59,330.0,2.94,4,4.0,5.0,2.0,8.0,50300.0,0
26.0,1,2.03,949.0,3.95,5,2.0,6.0,5.0,6.0,26500.0,0
22.0,1,2.44,802.0,2.15,5,4.0,7.0,5.0,5.0,79900.0,0
23.0,0,2.56,169.0,2.01,1,3.0,3.0,1.0,1.0,41500.0,0
29.0,0,2.89,266.0,2.76,3,1.0,7.0,2.0,3.0,44400.0,0
29.0,0,2.34,308.0,3.2,5,2.0,6.0,5.0,7.0,44900.0,0
29.0,0,3.75,459.0,3.26,0,0.0,7.0,4.0,10.0,35500.0,2
29.0,0,3.41,185.0,2.95,5,1.0,4.0,5.0,3.0,68800.0,0
21.0,2,2.17,334.0,2.25,3,4.0,9.0,2.0,5.0,53900.0,0
28.0,0,3.3,515.0,2.34,4,2.0,6.0,2.0,6.0,25000.0,2
27.0,0,3.31,441.0,3.7,5,1.0,3.0,3.0,9.0,31400.0,2
24.0,1,3.91,673.0,3.74,3,0.0,0.0,2.0,3.0,40300.0,0
29.0,1,2.01,391.0,3.35,5,0.0,2.0,2.0,6.0,59500.0,2
26.0,0,2.5,772.0,3.33,2,4.0,9.0,1.0,2.0,67900.0,1
24.0,1,3.86,935.0,3.2,0,3.0,8.0,2.0,9.0,48000.0,1
18.0,0,3.86,560.0,2.41,1,4.0,3.0,3.0,9.0,73800.0,2
18.0,0,3.44,254.0,2.86,0,2.0,4.0,3.0,7.0,61600.0,0
26.0,0,3.53,586.0,3.39,2,4.0,2.0,4.0,9.0,82200.0,0
28.0,1,2.18,335.0,3.07,0,2.0,5.0,5.0,4.0,41600.0,0
26.0,1,3.03,400.0,2.04,0,3.0,3.0,1.0,10.0,43900.0,0
21.0,1,2.46,166.0,3.91,1,4.0,4.0,0.0,1.0,53200.0,3
26.0,1,2.36,260.0,3.69,2,0.0,6.0,4.0,1.0,38900.0,0
20.0,1,3.62,4.0,2.52,0,2.0,6.0,2.0,2.0,61700.0,2
24.0,0,2.27,888.0,3.23,4,2.0,8.0,5.0,10.0,31500.0,0
23.0,0,2.94,119.0,3.85,5,0.0,1.0,1.0,3.0,27800.0,0
25.0,0,3.88,996.0,2.19,0,4.0,3.0,4.0,2.0,49200.0,1
28.0,0,2.37,923.0,3.01,6,3.0,7.0,3.0,4.0,72200.0,0
26.0,1,3.96,470.0,2.91,0,1.0,3.0,1.0,8.0,57400.0,0
22.0,0,3.99,470.0,2.82,1,4.0,2.0,1.0,3.0,62200.0,2
18.0,0,3.11,785.0,3.67,6,4.0,9.0,2.0,4.0,75000.0,2
20.0,1,2.34,493.0,2.76,4,2.0,5.0,1.0,2.0,56500.0,0
27.0,0,2.63,738.0,2.13,5,2.0,2.0,5.0,1.0,44800.0,2
29.0,1,2.85,864.0,2.13,4,3.0,1.0,5.0,8.0,71800.0,0
25.0,0,2.62,500.0,2.09,4,3.0,8.0,1.0,7.0,64500.0,0
28.0,2,2.56,70.0,2.82,2,3.0,2.0,0.0,10.0,39000.0,0
23.0,1,3.94,694.0,3.44,4,0.0,0.0,2.0,2.0,37300.0,2
25.0,0,2.31,865.0,2.41,3,1.0,8.0,1.0,8.0,49200.0,0
26.0,0,3.47,776.0,3.29,1,1.0,4.0,1.0,10.0,63500.0,3
21.0,2,2.0,370.0,3.37,2,3.0,6.0,0.0,3.0,35400.0,2
18.0,1,3.19,181.0,2.51,6,2.0,1.0,0.0,7.0,52000.0,3
18.0,0,3.83,996.0,3.2,3,1.0,0.0,3.0,1.0,63600.0,2
27.0,1,2.58,5.0,3.37,2,4.0,5.0,2.0,3.0,46300.0,0
21.0,1,2.37,197.0,2.93,1,0.0,4.0,0.0,9.0,54200.0,0
29.0,1,3.3,47.0,2.67,6,2.0,9.0,1.0,4.0,57300.0,2
24.0,2,3.43,970.0,3.24,1,0.0,5.0,0.0,1.0,61300.0,0
19.0,0,3.38,552.0,3.96,1,4.0,1.0,4.0,6.0,51200.0,2
20.0,0,2.64,634.0,2.85,6,1.0,6.0,3.0,1.0,48100.0,0
18.0,0,2.5,647.0,2.78,4,0.0,0.0,3.0,10.0,65200.0,2
22.0,1,3.91,140.0,2.93,0,0.0,7.0,5.0,1.0,25000.0,3
18.0,1,3.85,862.0,2.15,1,0.0,6.0,2.0,2.0,62900.0,0
25.0,1,2.91,665.0,3.11,4,4.0,6.0,3.0,3.0,58800.0,2
18.0,1,3.69,540.0,2.66,5,2.0,5.0,2.0,2.0,72900.0,0
28.0,1,2.9,427.0,2.24,6,2.0,9.0,4.0,8.0,58600.0,0
18.0,1,2.85,589.0,2.93,1,4.0,4.0,5.0,6.0,34400.0,0
19.0,1,2.31,687.0,2.01,0,0.0,8.0,1.0,1.0,51500.0,0
19.0,1,2.85,561.0,2.8,5,0.0,2.0,4.0,6.0,35300.0,2
29.0,1,3.07,854.0,2.21,6,3.0,8.0,2.0,1.0,67200.0,2
23.0,1,2.05,310.0,2.05,2,1.0,4.0,2.0,9.0,25000.0,0
24.0,2,2.89,274.0,3.65,2,1.0,7.0,2.0,3.0,26000.0,0
22.0,0,3.56,539.0,3.83,4,2.0,2.0,1.0,1.0,32000.0,0
18.0,2,3.36,840.0,2.42,2,4.0,6.0,5.0,1.0,25600.0,1
18.0,1,3.27,390.0,3.08,3,0.0,9.0,5.0,2.0,45100.0,2
20.0,1,3.82,459.0,2.56,1,1.0,3.0,2.0,6.0,43700.0,3
19.0,0,2.04,733.0,2.99,1,4.0,4.0,4.0,1.0,62400.0,2
22.0,1,3.11,634.0,2.87,6,4.0,3.0,5.0,7.0,25000.0,0
29.0,1,3.57,361.0,2.54,3,0.0,8.0,1.0,4.0,42000.0,2
27.0,1,3.08,69.0,3.4,1,4.0,6.0,4.0,7.0,53900.0,2
23.0,1,2.65,583.0,2.25,6,1.0,5.0,1.0,4.0,36000.0,0
24.0,1,2.27,662.0,2.11,0,3.0,5.0,2.0,4.0,25200.0,0
21.0,1,3.78,699.0,3.54,1,1.0,9.0,5.0,4.0,60600.0,2
24.0,0,2.94,431.0,3.33,4,3.0,6.0,1.0,10.0,58500.0,2
28.0,1,3.76,885.0,3.0,1,4.0,4.0,0.0,10.0,25000.0,0
25.0,1,3.17,758.0,2.94,0,1.0,9.0,4.0,8.0,43600.0,3
28.0,0,3.35,708.0,2.99,0,0.0,2.0,0.0,2.0,40800.0,2
18.0,1,3.61,32.0,2.87,1,4.0,2.0,0.0,8.0,77200.0,2
23.0,1,3.32,979.0,2.79,0,0.0,6.0,2.0,10.0,25000.0,2
25.0,0,2.8,621.0,3.0,6,3.0,9.0,2.0,1.0,43300.0,0
22.0,1,3.03,865.0,3.06,1,2.0,0.0,0.0,7.0,61400.0,3
21.0,1,3.61,513.0,3.38,1,2.0,3.0,1.0,7.0,48200.0,0
19.0,0,2.75,182.0,3.42,2,3.0,9.0,2.0,6.0,66100.0,0
23.0,1,2.78,686.0,2.76,4,2.0,7.0,4.0,4.0,25000.0,3
23.0,0,2.19,681.0,2.83,1,4.0,3.0,0.0,5.0,30700.0,0
28.0,0,3.83,248.0,2.75,5,4.0,0.0,4.0,1.0,45300.0,3
18.0,1,2.18,620.0,3.07,2,1.0,4.0,5.0,2.0,57300.0,0
26.0,0,3.3,882.0,2.91,0,4.0,0.0,4.0,10.0,50100.0,2
29.0,0,2.83,297.0,3.78,4,2.0,8.0,4.0,7.0,59200.0,0
28.0,1,2.81,776.0,3.39,4,0.0,7.0,0.0,2.0,44900.0,2
23.0,0,3.36,928.0,3.8,0,1.0,6.0,3.0,8.0,30400.0,0
20.0,1,2.13,30.0,3.42,6,0.0,4.0,5.0,7.0,58300.0,3
21.0,0,3.19,302.0,3.94,2,2.0,3.0,2.0,10.0,27000.0,0
29.0,1,3.54,476.0,3.27,1,0.0,6.0,4.0,8.0,35500.0,0
28.0,1,3.66,873.0,3.93,2,2.0,2.0,0.0,4.0,29500.0,0
21.0,1,2.34,948.0,2.32,0,4.0,7.0,3.0,1.0,52700.0,1
20.0,0,3.79,352.0,2.1,0,1.0,4.0,0.0,7.0,48800.0,3
27.0,1,3.31,985.0,3.16,5,3.0,4.0,2.0,1.0,32900.0,0
20.0,1,3.76,482.0,3.97,6,2.0,0.0,0.0,7.0,38100.0,3
20.0,1,2.97,317.0,2.84,4,4.0,9.0,1.0,9.0,44700.0,3
21.0,0,3.08,737.0,2.42,4,0.0,7.0,5.0,5.0,59500.0,2
24.0,0,3.84,397.0,3.04,0,4.0,6.0,1.0,2.0,50400.0,0
21.0,0,3.8,89.0,3.3,2,0.0,0.0,4.0,1.0,54300.0,0
26.0,0,2.9,234.0,2.63,4,0.0,3.0,0.0,8.0,56500.0,0
18.0,0,2.55,168.0,3.43,5,0.0,3.0,0.0,4.0,49700.0,0
25.0,1,2.79,743.0,3.95,5,0.0,8.0,4.0,8.0,53200.0,3
24.0,0,2.78,126.0,3.79,1,1.0,9.0,4.0,2.0,47900.0,0
19.0,0,2.57,573.0,2.58,1,0.0,1.0,5.0,3.0,72100.0,3
25.0,2,2.54,120.0,2.65,2,1.0,3.0,3.0,3.0,57900.0,3
18.0,0,3.72,428.0,2.74,6,3.0,9.0,0.0,4.0,77500.0,3
28.0,1,2.14,190.0,2.79,1,1.0,2.0,2.0,9.0,69000.0,2
29.0,1,3.36,633.0,2.2,2,0.0,9.0,2.0,9.0,47000.0,2
26.0,0,2.35,428.0,3.52,2,3.0,4.0,2.0,5.0,47000.0,3
26.0,0,2.69,560.0,2.73,0,4.0,6.0,4.0,7.0,25100.0,0
19.0,0,2.12,202.0,3.76,4,1.0,4.0,4.0,9.0,33400.0,2
24.0,0,2.54,59.0,3.85,0,4.0,4.0,4.0,1.0,65100.0,2
27.0,0,3.54,697.0,2.05,4,3.0,3.0,2.0,2.0,64400.0,0
20.0,1,3.77,223.0,3.98,6,1.0,8.0,3.0,6.0,25000.0,2
24.0,0,2.44,492.0,3.42,6,0.0,5.0,5.0,3.0,69700.0,0
29.0,1,2.93,11.0,3.04,6,1.0,9.0,1.0,7.0,67800.0,3
27.0,1,2.94,793.0,2.78,2,0.0,5.0,0.0,5.0,66800.0,2
26.0,1,3.75,701.0,3.04,2,2.0,5.0,1.0,10.0,57700.0,2
21.0,0,3.53,512.0,2.65,0,1.0,5.0,0.0,8.0,57600.0,2
29.0,1,3.03,814.0,3.25,1,1.0,0.0,4.0,1.0,47200.0,0
18.0,1,3.34,310.0,2.19,5,4.0,5.0,2.0,9.0,40500.0,2
19.0,0,3.69,749.0,3.24,4,4.0,3.0,1.0,10.0,67000.0,2
18.0,1,2.02,34.0,2.55,4,3.0,1.0,4.0,6.0,46100.0,0
29.0,0,2.81,340.0,2.04,6,0.0,5.0,0.0,5.0,25000.0,0
22.0,0,3.81,647.0,3.11,4,4.0,0.0,5.0,8.0,59300.0,3
22.0,0,3.48,481.0,3.16,3,3.0,0.0,5.0,4.0,34200.0,2
28.0,0,3.09,574.0,2.85,6,0.0,4.0,1.0,9.0,52300.0,2
24.0,1,3.06,825.0,2.14,5,0.0,5.0,1.0,5.0,74900.0,0
26.0,0,2.7,739.0,3.79,4,0.0,1.0,1.0,1.0,81500.0,2
26.0,1,3.04,93.0,3.22,0,2.0,9.0,1.0,8.0,60400.0,2
20.0,0,3.31,628.0,2.23,4,0.0,7.0,1.0,9.0,69700.0,0
20.0,1,2.84,844.0,3.02,2,3.0,3.0,4.0,5.0,61200.0,0
20.0,0,3.43,133.0,2.99,0,0.0,3.0,0.0,5.0,62100.0,0
21.0,1,3.72,844.0,2.12,0,0.0,9.0,0.0,6.0,63800.0,2
25.0,1,2.31,989.0,3.21,0,3.0,4.0,3.0,9.0,34000.0,2
23.0,1,2.9,419.0,3.62,3,1.0,9.0,2.0,5.0,30800.0,0
25.0,1,2.82,468.0,3.5,3,0.0,3.0,5.0,2.0,65200.0,0
18.0,0,3.37,805.0,2.41,4,3.0,4.0,1.0,3.0,54600.0,2
25.0,1,2.5,444.0,3.72,6,4.0,9.0,5.0,10.0,52400.0,0
21.0,0,3.28,705.0,2.69,4,3.0,2.0,0.0,3.0,42900.0,0
28.0,2,3.75,912.0,3.89,4,2.0,7.0,2.0,9.0,44600.0,2
18.0,0,2.84,30.0,2.14,4,4.0,5.0,2.0,8.0,68900.0,2
25.0,1,3.82,969.0,2.97,5,1.0,7.0,4.0,6.0,37300.0,2
21.0,1,3.99,298.0,3.19,2,1.0,4.0,1.0,5.0,50200.0,2
23.0,0,2.21,61.0,2.5,0,3.0,6.0,3.0,10.0,38200.0,2
25.0,1,2.47,458.0,3.54,1,3.0,9.0,2.0,2.0,26700.0,3
21.0,1,3.9,973.0,3.25,5,0.0,6.0,4.0,9.0,51600.0,3
20.0,0,3.92,304.0,2.04,6,0.0,5.0,1.0,10.0,61100.0,2
26.0,0,2.2,958.0,3.22,6,2.0,9.0,0.0,8.0,34100.0,2
20.0,0,2.03,340.0,2.98,0,0.0,3.0,3.0,5.0,39300.0,1
26.0,1,2.32,861.0,2.39,6,3.0,5.0,1.0,6.0,32200.0,0
19.0,0,3.99,448.0,3.99,0,3.0,8.0,4.0,9.0,52000.0,0
